,caseGrowth,stringIndex,DaysBeforeSClose,cluster
ABW,189.49457894736838,39.158713235294115,75.0,2
AFG,3.8314676806083643,50.44720754716985,73.0,0
AGO,0.7442617801047119,55.973529411764666,83.0,0
AIA,1.0751290322580644,33.20848708487078,75.0,0
ALB,22.584975490196083,52.25439849624066,68.0,0
AND,119.40886432160798,32.10114391143916,75.0,1
ARE,34.63766292134831,45.37003891050583,67.0,4
ARG,76.40027669902913,67.85219696969676,75.0,1
AUT,17.67809523809523,38.439926470588304,75.0,0
AZE,14.839733082706772,63.839595588235156,62.0,3
BEL,36.0576043956044,48.311025641025644,73.0,4
BEN,0.9847551020408163,36.793088235294086,89.0,0
BFA,0.4803649999999999,41.06599999999995,75.0,0
BGD,11.013939393939403,61.07653136531383,75.0,0
BGR,14.218019704433496,36.87853932584259,64.0,0
BHR,148.59651102941174,55.024264705882445,56.0,2
BIH,41.02183,49.86633962264153,70.0,4
BLR,30.99314339622644,9.15276752767529,94.0,0
BLZ,24.670555555555556,52.746985294117586,79.0,0
BMU,15.0598756476684,45.86694852941176,79.0,0
BOL,57.35486499999999,65.44223484848472,71.0,4
BRB,3.3906256410256437,47.613703703703536,78.0,0
BRN,1.6521336633663366,38.52977941176471,70.0,0
BTN,1.7779296482412057,56.83444852941169,77.0,0
BWA,6.862502762430938,48.89996268656711,78.0,0
CAF,5.051167512690352,44.01947761194019,85.0,0
CAN,14.861282051282062,50.08697761194018,79.0,0
CHE,21.951065934065944,41.084926470588144,72.0,0
CHL,115.16129807692298,56.76498113207534,74.0,1
CHN,0.23027106227106223,69.92025735294125,25.0,3
CIV,3.7393969849246247,40.42743396226416,75.0,0
CMR,3.9055149999999994,43.64332075471694,77.0,0
COD,0.5923450000000002,48.70503676470592,78.0,0
COG,4.606903553299492,51.67375000000001,87.0,0
COL,79.10380693069311,61.317306273063046,75.0,1
CPV,54.06105729166665,54.01973384030425,82.0,4
CRI,68.99308780487803,53.27830827067676,71.0,1
CUB,2.433252525252524,59.35045112781962,83.0,0
CYM,16.556305699481857,49.21890710382518,75.0,0
CYP,9.633308457711433,48.88874999999995,72.0,0
CZE,22.09539194139194,38.96286764705887,70.0,0
DEU,12.4746227106227,47.572388059701645,77.0,0
DJI,28.219953608247444,44.89767790262184,78.0,4
DMA,1.7546210526315789,38.49053639846751,82.0,0
DNK,16.84532234432234,44.71463235294115,72.0,0
DOM,38.89382575757575,59.36891791044793,75.0,4
DZA,4.345369402985075,55.060830188679205,71.0,0
ECU,28.49772014925374,58.617849056603724,72.0,4
EGY,3.735840148698887,50.63279850746263,74.0,0
ERI,0.5536387434554971,65.152573529412,86.0,0
ESP,56.33907352941176,51.05529411764711,75.0,4
EST,9.001126865671635,30.10335793357932,75.0,0
ETH,3.2053668341708534,55.82445283018863,75.0,0
FIN,6.495996282527881,34.736985294117616,75.0,0
FJI,0.18499481865284975,51.76433962264155,82.0,0
FLK,20.96862359550562,29.000405904058912,85.0,0
FRA,30.22327472527473,48.43114391143925,75.0,4
GAB,19.705582914572858,53.61531835206,75.0,0
GBR,23.47015750915752,50.80767973856181,82.0,0
GEO,5.154633333333332,57.32813432835833,61.0,3
GHA,7.5017688442211075,42.006007462686625,75.0,0
GIB,58.28659585492228,43.09934693877559,77.0,4
GIN,4.068772727272727,49.64003787878774,86.0,0
GMB,7.5735076923076905,52.35194852941176,77.0,0
GRC,6.1756273062730624,46.86205882352946,69.0,0
GRL,1.2777150259067358,34.746492537313465,78.0,0
GTM,25.39747474747475,68.87121212121218,75.0,4
GUM,71.89132474226803,50.73788679245274,75.0,1
GUY,17.79901515151515,57.95169811320742,75.0,0
HND,38.10670854271359,69.06536121672981,72.0,4
HRV,14.612677777777776,40.08768382352934,73.0,0
HTI,3.96377202072539,45.246628787878905,78.0,0
HUN,12.35993236714976,44.362840909090934,70.0,0
IDN,3.925357142857143,52.08533088235287,85.0,0
IND,16.183602941176474,62.271794871794825,77.0,0
IRL,26.14818081180813,50.38564393939378,72.0,0
IRN,19.46997435897437,43.25272388059695,64.0,0
IRQ,32.05873800738007,68.70087121212126,57.0,4
ISL,28.15545421245425,32.870898876404475,75.0,0
ISR,98.85596296296293,51.20253787878789,72.0,1
ITA,18.77308058608059,54.28704119850182,63.0,3
JAM,10.119320000000004,57.67867924528297,72.0,0
JOR,4.1614049999999985,49.84518656716406,74.0,0
KAZ,37.72809595959596,58.581323529411755,75.0,4
KEN,3.561964824120601,59.77367647058832,74.0,0
KGZ,36.62421649484535,60.159773584905615,75.0,4
KHM,0.0625454545454545,34.95417910447768,66.0,0
KOR,1.6905641025641025,46.75115241635696,54.0,3
KWT,89.79994444444439,61.6302316602317,60.0,1
LAO,0.01679787234042553,33.30283018867924,76.0,0
LBN,19.745754646840147,52.28158490566035,59.0,3
LBR,1.3507397959183656,54.94384328358204,76.0,0
LBY,25.053398936170215,66.1811320754716,74.0,4
LKA,0.5943901515151514,46.25811320754725,72.0,0
LSO,5.308547445255476,50.45890566037717,77.0,0
LTU,6.10140909090909,36.18456603773592,72.0,0
LUX,50.18933082706766,35.43568773234201,75.0,4
LVA,4.31330097087378,39.04102272727281,72.0,0
MAR,15.706320197044334,57.52055762081797,75.0,0
MDA,62.126428571428576,53.940708955223954,70.0,4
MDG,3.0630208333333324,50.21947169811311,80.0,0
MEX,21.374826415094347,52.28103321033211,82.0,0
MLI,0.8149144385026744,39.17503731343265,78.0,0
MMR,1.038284210526316,56.56865671641798,75.0,0
MNG,0.4846345177664978,55.80439393939385,26.0,3
MOZ,1.344347368421052,45.11169811320767,82.0,0
MRT,8.105282828282832,40.949253731343035,75.0,0
MSR,13.615287958115184,36.52428044280449,75.0,0
MUS,1.4952020725388595,33.25931034482752,78.0,0
MWI,1.68441340782123,43.003272058823356,82.0,0
MYS,1.2402904411764717,48.372803030303054,73.0,0
NAM,21.929989898989895,43.61914498141266,76.0,0
NER,0.2573333333333328,23.03898113207555,79.0,0
NGA,1.0799160305343511,52.533358208955306,82.0,0
NLD,23.838007326007325,42.982830882352886,71.0,0
NOR,9.058120879120878,36.6190151515152,71.0,0
NPL,9.688238461538468,66.65286764705883,78.0,0
NZL,1.1601477272727276,39.244963235294115,83.0,0
OMN,71.47216104868912,66.17905660377355,74.0,1
PAK,5.250776119402982,52.90448529411782,72.0,0
PAN,126.21907389162558,62.91675373134329,71.0,1
PER,119.1411268292682,64.86874999999998,71.0,1
PHL,10.32069888475837,64.12405303030297,74.0,0
PNG,0.3097239583333334,41.400373134328476,82.0,0
POL,11.147231884057973,42.35319852941164,71.0,0
PRI,87.48896216216221,58.759516728624696,75.0,1
PRT,34.373395238095235,53.32107279693498,75.0,4
PRY,26.9831144278607,62.94152985074625,69.0,4
PSE,47.26960294117645,64.71055350553509,65.0,4
QAT,161.39763568773242,59.44754789272027,69.0,2
ROU,23.530269372693727,45.24464944649454,70.0,0
RUS,28.901483516483523,52.660641509433866,73.0,4
RWA,1.8794292929292924,55.54465116279073,75.0,0
SAU,46.235280193236704,57.024659090909054,68.0,4
SDN,1.5592613065326637,56.84048507462671,73.0,0
SEN,4.386275862068966,40.440479704796964,75.0,0
SGP,36.12703296703297,50.49539325842708,98.0,4
SLE,1.534104972375689,37.37136029411751,90.0,0
SLV,22.752515463917533,68.05252747252739,70.0,4
SMR,80.81337132352945,41.32088560885604,59.0,1
SOM,1.15179081632653,30.149365671641707,80.0,0
SRB,24.16795566502465,46.40871698113206,75.0,0
SSD,1.3633295454545464,56.500603773584814,79.0,0
SUR,42.704336787564756,58.57711610486897,75.0,4
SVK,8.11091707317073,39.27791044776116,75.0,0
SVN,12.432033816425117,38.65840909090919,75.0,0
SWE,33.34417407407409,29.275056603773653,77.0,0
SWZ,23.642636363636363,57.68018867924518,76.0,0
SYC,7.344151515151516,30.551169811320612,82.0,0
SYR,1.2246210526315793,49.36436567164186,73.0,0
TCA,93.69442021276599,45.41571428571423,79.0,1
TCD,0.37167357512953386,48.87863970588223,103.0,0
TGO,1.0580201005025125,42.615955882352914,79.0,0
THA,0.19093233082706837,43.385207547169685,77.0,0
TJK,6.697761589403979,36.26011029411754,124.0,0
TLS,0.10719895287958112,30.618371212121207,82.0,0
TTO,15.58428,55.78555970149256,73.0,0
TUN,6.683544117647058,38.34408921933091,68.0,0
TUR,18.73469346733668,48.48661654135333,75.0,0
TWN,0.0784615384615387,21.828141263940374,32.0,3
TZA,0.043464285714285705,24.575036764705846,76.0,0
UGA,0.8618900523560209,62.0925278810409,79.0,0
UKR,22.823567839195977,49.540624999999906,71.0,0
URY,2.91950505050505,33.21080882352936,73.0,0
USA,78.73784981684982,49.20436468585732,72.0,1
UZB,8.43157360406091,57.44176029962556,75.0,0
VEN,12.976218274111671,61.708051470588316,75.0,0
VGB,12.62427956989247,44.36399999999994,78.0,0
VNM,0.04100371747211898,57.04055762081791,45.0,3
YEM,0.39651744186046534,31.105845588235155,74.0,0
ZAF,55.1694390243902,57.13468634686343,77.0,4
ZMB,4.105159793814433,36.40312267658005,79.0,0
ZWE,2.737510416666666,57.9991176470588,83.0,0
